Date,Open,Close,High,Low,Volume
2017-01-03,8.045,8.095,8.115,8.025,459840.0
2017-01-04,8.085,8.095,8.115,8.075,449329.0
2017-01-05,8.105,8.105,8.115,8.085,344372.0
2017-01-06,8.105,8.065,8.105,8.045,358154.0
2017-01-09,8.065,8.085,8.105,8.045,361081.0
2017-01-10,8.085,8.085,8.095,8.075,241053.0
2017-01-11,8.075,8.075,8.105,8.065,303430.0
2017-01-12,8.065,8.085,8.105,8.065,428006.0
2017-01-13,8.075,8.095,8.125,8.055,434301.0
2017-01-16,8.085,8.075,8.095,8.005,683165.0
2017-01-17,8.055,8.085,8.095,8.035,545552.0
2017-01-18,8.075,8.105,8.125,8.065,574269.0
2017-01-19,8.085,8.115,8.175,8.085,437712.0
2017-01-20,8.105,8.155,8.165,8.105,393328.0
2017-01-23,8.155,8.155,8.195,8.135,420299.0
2017-01-24,8.165,8.205,8.215,8.135,470244.0
2017-01-25,8.205,8.195,8.215,8.185,304401.0
2017-01-26,8.205,8.265,8.275,8.195,420712.0
2017-02-03,8.275,8.195,8.295,8.165,315472.0
2017-02-06,8.195,8.245,8.255,8.195,516786.0
2017-02-07,8.245,8.235,8.255,8.205,396884.0
2017-02-08,8.225,8.235,8.235,8.175,360272.0
2017-02-09,8.235,8.245,8.265,8.215,342855.0
2017-02-10,8.255,8.265,8.295,8.245,482743.0
2017-02-13,8.275,8.345,8.375,8.265,638364.0
2017-02-14,8.345,8.335,8.355,8.305,362404.0
2017-02-15,8.335,8.385,8.475,8.325,756613.0
2017-02-16,8.385,8.395,8.435,8.355,411161.0
2017-02-17,8.395,8.325,8.425,8.305,423774.0
2017-02-20,8.335,8.495,8.515,8.335,898755.0
2017-02-21,8.485,8.505,8.555,8.475,646584.0
2017-02-22,8.505,8.505,8.505,8.435,462966.0
2017-02-23,8.485,8.445,8.505,8.415,335327.0
2017-02-24,8.435,8.435,8.475,8.415,332500.0
2017-02-27,8.435,8.365,8.435,8.355,407341.0
2017-02-28,8.365,8.415,8.445,8.355,369719.0
2017-03-01,8.425,8.425,8.485,8.405,346993.0
2017-03-02,8.445,8.365,8.475,8.355,403628.0
2017-03-03,8.345,8.335,8.365,8.295,342655.0
2017-03-06,8.335,8.385,8.395,8.325,404511.0
2017-03-07,8.375,8.385,8.395,8.335,294672.0
2017-03-08,8.365,8.355,8.385,8.335,244438.0
2017-03-09,8.345,8.315,8.365,8.295,378169.0
2017-03-10,8.315,8.335,8.345,8.295,390182.0
2017-03-13,8.325,8.375,8.385,8.305,545304.0
2017-03-14,8.365,8.375,8.395,8.345,404484.0
2017-03-15,8.355,8.415,8.415,8.355,546560.0
2017-03-16,8.415,8.455,8.465,8.385,635953.0
2017-03-17,8.385,8.245,8.395,8.235,1583647.0
2017-03-20,8.225,8.185,8.245,8.155,715021.0
2017-03-21,8.185,8.175,8.195,8.135,554648.0
2017-03-22,8.135,8.095,8.155,8.075,566123.0
2017-03-23,8.095,8.135,8.175,8.085,433588.0
2017-03-24,8.135,8.125,8.175,8.095,710827.0
2017-03-27,8.055,8.075,8.125,8.015,985012.0
2017-03-28,8.095,8.055,8.105,8.035,481372.0
2017-03-29,8.065,8.045,8.085,8.025,601140.0
2017-03-30,8.055,8.015,8.055,7.995,687285.0
2017-03-31,8.015,8.105,8.115,8.015,633121.0
2017-04-05,8.095,8.145,8.155,8.085,499150.0
2017-04-06,8.135,8.135,8.155,8.105,434391.0
2017-04-07,8.125,8.135,8.155,8.105,514844.0
2017-04-10,8.135,8.115,8.145,8.105,401343.0
2017-04-11,8.105,8.085,8.125,8.025,612437.0
2017-04-12,8.095,8.055,8.105,8.035,455336.0
2017-04-13,8.045,8.055,8.075,8.035,357442.0
2017-04-14,8.045,8.015,8.055,7.995,490500.0
2017-04-17,8.015,8.035,8.045,7.985,531892.0
2017-04-18,8.025,7.985,8.035,7.985,335376.0
2017-04-19,7.965,7.845,7.975,7.835,799668.0
2017-04-20,7.835,7.855,7.875,7.825,437629.0
2017-04-21,7.855,7.905,7.925,7.835,325408.0
2017-04-24,7.905,7.865,7.915,7.825,394995.0
2017-04-25,7.865,7.935,7.945,7.865,377933.0
2017-04-26,7.935,7.925,7.945,7.895,382147.0
2017-04-27,7.905,7.905,7.915,7.845,387392.0
2017-04-28,7.895,7.925,7.925,7.855,286446.0
2017-05-02,7.895,7.875,7.895,7.835,311026.0
2017-05-03,7.855,7.845,7.865,7.825,280310.0
2017-05-04,7.825,7.675,7.825,7.655,696517.0
2017-05-05,7.675,7.565,7.695,7.515,623700.0
2017-05-08,7.535,7.505,7.555,7.475,460089.0
2017-05-09,7.495,7.575,7.575,7.485,324194.0
2017-05-10,7.565,7.605,7.735,7.555,573077.0
2017-05-11,7.585,7.635,7.655,7.535,503643.0
2017-05-12,7.615,7.835,7.835,7.575,917968.0
2017-05-15,7.825,7.795,7.885,7.745,536578.0
2017-05-16,7.775,7.775,7.785,7.665,524872.0
2017-05-17,7.745,7.705,7.745,7.685,417338.0
2017-05-18,7.655,7.665,7.705,7.645,227401.0
2017-05-19,7.675,7.625,7.695,7.615,294270.0
2017-05-22,7.615,7.615,7.665,7.545,679120.0
2017-05-23,7.605,7.725,7.775,7.575,800040.0
2017-05-24,7.715,7.745,7.765,7.615,532376.0
2017-05-25,7.725,8.035,8.075,7.715,1621543.0
2017-05-26,8.015,8.035,8.065,7.975,895365.0
2017-05-31,8.035,8.135,8.165,7.995,1033210.0
2017-06-01,8.135,8.125,8.165,8.055,566182.0
2017-06-02,8.115,8.105,8.225,8.075,770757.0
2017-06-05,8.065,7.965,8.105,7.925,634132.0
2017-06-06,7.945,7.975,7.995,7.925,355341.0
2017-06-07,7.955,8.065,8.085,7.945,645723.0
2017-06-08,8.045,8.065,8.085,8.015,383004.0
2017-06-09,8.085,8.085,8.155,8.055,685468.0
2017-06-12,8.085,8.045,8.125,8.035,504578.0
2017-06-13,8.045,8.055,8.075,7.985,448434.0
2017-06-14,8.055,8.015,8.065,7.975,375444.0
2017-06-15,8.015,7.975,8.015,7.965,337797.0
2017-06-16,7.975,7.955,8.015,7.945,285991.0
2017-06-19,7.965,8.065,8.085,7.955,489704.0
2017-06-20,8.055,8.055,8.095,8.025,313615.0
2017-06-21,8.105,8.085,8.115,8.045,496932.0
2017-06-22,8.085,8.185,8.335,8.075,1426958.0
2017-06-23,8.165,8.185,8.205,8.095,584004.0
2017-06-26,8.195,8.235,8.335,8.195,710769.0
2017-06-27,8.235,8.295,8.325,8.205,546016.0
2017-06-28,8.285,8.365,8.425,8.265,1168796.0
2017-06-29,8.365,8.365,8.385,8.305,488804.0
2017-06-30,8.335,8.325,8.365,8.245,499633.0
2017-07-03,8.335,8.335,8.365,8.275,388349.0
2017-07-04,8.335,8.275,8.345,8.235,488362.0
2017-07-05,8.225,8.305,8.315,8.205,567720.0
2017-07-06,8.295,8.335,8.345,8.245,738911.0
2017-07-07,8.305,8.405,8.415,8.275,760369.0
2017-07-10,8.385,8.525,8.595,8.375,1360815.0
2017-07-11,8.545,9.185,9.395,8.545,3812086.0
2017-07-12,9.205,9.275,9.515,9.135,2998844.0
2017-07-13,9.235,9.835,9.835,9.175,2994534.0
2017-07-14,9.745,9.835,9.875,9.595,1722570.0
2017-07-17,9.885,9.745,10.265,9.655,3273123.0
2017-07-18,9.685,9.985,10.075,9.555,2349431.0
2017-07-19,9.925,10.025,10.125,9.815,1933075.0
2017-07-20,10.015,9.905,10.155,9.845,1537338.0
2017-07-21,9.923,9.983,10.043,9.783,1501020.0
2017-07-24,9.913,10.043,10.153,9.823,1692664.0
2017-07-25,10.073,10.093,10.363,10.043,1954768.0
2017-07-26,10.013,9.833,10.273,9.753,1697412.0
2017-07-27,9.813,9.683,9.863,9.623,1194490.0
2017-07-28,9.703,9.833,9.903,9.673,819195.0
2017-07-31,9.893,9.763,9.913,9.543,1575864.0
2017-08-01,9.733,10.133,10.173,9.693,2035709.0
2017-08-02,10.143,10.243,10.433,10.053,2062069.0
2017-08-03,10.233,10.103,10.313,10.063,984219.0
2017-08-04,10.093,10.263,10.383,10.023,1353951.0
2017-08-07,10.153,10.093,10.263,9.993,860644.0
2017-08-08,10.093,10.143,10.203,10.003,689567.0
2017-08-09,10.053,9.823,10.113,9.773,1042321.0
2017-08-10,9.793,9.713,9.913,9.633,959879.0
2017-08-11,9.573,9.113,9.633,9.083,2440643.0
2017-08-14,9.223,9.313,9.343,9.133,1157664.0
2017-08-15,9.333,9.403,9.603,9.303,1075162.0
2017-08-16,9.383,9.433,9.463,9.243,756806.0
2017-08-17,9.443,9.513,9.513,9.383,553642.0
2017-08-18,9.453,9.533,9.693,9.383,616520.0
2017-08-21,9.523,9.553,9.613,9.483,399154.0
2017-08-22,9.573,9.743,9.753,9.463,875681.0
2017-08-23,9.723,9.993,10.073,9.683,1319151.0
2017-08-24,9.983,10.023,10.203,9.933,924248.0
2017-08-25,10.033,10.203,10.263,9.993,963940.0
2017-08-28,10.193,10.443,10.633,10.193,1603938.0
2017-08-29,10.393,10.763,10.833,10.373,1357983.0
2017-08-30,10.773,10.523,10.793,10.443,1096674.0
2017-08-31,10.483,10.373,10.533,10.243,1151786.0
2017-09-01,10.373,10.303,10.483,10.243,959976.0
2017-09-04,10.273,10.813,10.813,10.263,1352325.0
2017-09-05,10.773,10.733,11.033,10.693,1287518.0
2017-09-06,10.683,10.793,10.973,10.573,791621.0
2017-09-07,10.743,10.533,10.843,10.483,614187.0
2017-09-08,10.553,10.583,10.733,10.473,481276.0
2017-09-11,10.633,10.473,10.783,10.393,699472.0
2017-09-12,10.473,10.633,10.633,10.363,846183.0
2017-09-13,10.583,10.523,10.633,10.433,668237.0
2017-09-14,10.523,10.413,10.683,10.333,883087.0
2017-09-15,10.383,10.383,10.413,10.243,646094.0
2017-09-18,10.343,10.343,10.413,10.293,607612.0
2017-09-19,10.343,10.223,10.433,10.173,764212.0
2017-09-20,10.233,10.383,10.463,10.143,787154.0
2017-09-21,10.353,10.553,10.603,10.293,692407.0
2017-09-22,10.523,10.533,10.613,10.403,593927.0
2017-09-25,10.533,10.383,10.543,10.273,532391.0
2017-09-26,10.353,10.143,10.393,10.053,967460.0
2017-09-27,10.103,10.023,10.173,9.993,727188.0
2017-09-28,10.073,9.973,10.073,9.913,517220.0
2017-09-29,10.013,10.203,10.253,9.953,682280.0
2017-10-09,10.663,10.393,10.733,10.353,1325227.0
2017-10-10,10.423,10.563,10.593,10.423,747925.0
2017-10-11,10.573,10.623,10.673,10.433,658077.0
