number,股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,TCL科技,100,2022-01-04,6.03,6.09,6.11,5.99,1612641,998794576.0,1.99,1.16,0.07,1.2
1,TCL科技,100,2022-01-05,6.07,6.18,6.2,6.05,2263629,1424936064.0,2.46,1.48,0.09,1.69
2,TCL科技,100,2022-01-06,6.16,6.13,6.17,6.1,1363835,856000880.0,1.13,-0.81,-0.05,1.02
3,TCL科技,100,2022-01-07,6.14,6.2,6.29,6.12,2198170,1402098272.0,2.77,1.14,0.07,1.64
4,TCL科技,100,2022-01-10,6.22,6.27,6.32,6.19,1793380,1150931296.0,2.1,1.13,0.07,1.34
5,TCL科技,100,2022-01-11,6.23,6.14,6.26,6.13,1613705,1021673072.0,2.07,-2.07,-0.13,1.2
6,TCL科技,100,2022-01-12,6.14,6.17,6.19,6.11,992231,624706240.0,1.3,0.49,0.03,0.74
7,TCL科技,100,2022-01-13,6.17,6.11,6.25,6.11,1310291,827701712.0,2.27,-0.97,-0.06,0.98
8,TCL科技,100,2022-01-14,6.07,6.01,6.08,6.0,1186094,733447792.0,1.31,-1.64,-0.1,0.88
9,TCL科技,100,2022-01-17,6.0,6.03,6.05,5.99,704410,435151712.0,1.0,0.33,0.02,0.52
10,TCL科技,100,2022-01-18,6.02,6.04,6.06,6.0,788469,486997888.0,1.0,0.17,0.01,0.59
11,TCL科技,100,2022-01-19,6.02,5.98,6.05,5.95,1163172,714777888.0,1.66,-0.99,-0.06,0.87
12,TCL科技,100,2022-01-20,5.98,5.96,6.01,5.95,943266,578160208.0,1.0,-0.33,-0.02,0.7
13,TCL科技,100,2022-01-21,6.01,5.93,6.03,5.92,1376196,839775616.0,1.85,-0.5,-0.03,1.03
14,TCL科技,100,2022-01-24,5.9,5.85,5.91,5.82,1018375,611167792.0,1.52,-1.35,-0.08,0.76
15,TCL科技,100,2022-01-25,5.82,5.61,5.83,5.61,1881503,1100381488.0,3.76,-4.1,-0.24,1.4
16,TCL科技,100,2022-01-26,5.58,5.64,5.68,5.56,1168785,674886400.0,2.14,0.53,0.03,0.87
17,TCL科技,100,2022-01-27,5.63,5.42,5.63,5.4,1611984,905465152.0,4.08,-3.9,-0.22,1.2
18,TCL科技,100,2022-01-28,5.43,5.46,5.53,5.37,1367234,766767984.0,2.95,0.74,0.04,1.02
19,TCL科技,100,2022-02-07,5.57,5.6,5.63,5.51,1058725,605424464.0,2.2,2.56,0.14,0.79
20,TCL科技,100,2022-02-08,5.6,5.7,5.7,5.55,1146212,663695008.0,2.68,1.79,0.1,0.85
21,TCL科技,100,2022-02-09,5.7,5.76,5.79,5.68,946690,559596032.0,1.93,1.05,0.06,0.71
22,TCL科技,100,2022-02-10,5.75,5.77,5.79,5.7,942993,555888880.0,1.56,0.17,0.01,0.7
